Id,Label,sex,nationality,occupation,year_of_birth,military_civilian,year_of_selection,total_number_of_missions
129,"Parker, Robert A. R.",male,U.S.,MSP,1936,civilian,1967,2
130,"Lichtenberg, Byron Kurt",male,U.S.,PSP,1948,military,1982,2
131,"Merbold, Ulf",male,Germany,PSP,1941,civilian,1978,3
132,"Gibson, Robert L.",male,U.S.,pilot,1946,military,1978,5
133,"McNair, Ronald E.",male,U.S.,MSP,1950,civilian,1978,2
134,"Stewart, Robert L.",male,U.S.,MSP,1942,military,1978,2
135,"McCandless, Bruce, II",male,U.S.,MSP,1937,military,1966,2
136,"Solovyov, Vladimir",male,U.S.S.R/Russia,flight engineer,1946,civilian,1978,2
137,"Atkov, Oleg",male,U.S.S.R/Russia,MSP,1949,civilian,1983,1
138,Rakesh Sharma,male,India,pilot,1949,military,1982,1
139,"Scobee, Francis R.",male,U.S.,pilot,1939,military,1978,2
140,"Hart, Terry J.",male,U.S.,MSP,1946,civilian,1978,1
141,"Van Hoften, James D. A.",male,U.S.,MSP,1944,civilian,1978,2
142,"Nelson, George D.",male,U.S.,MSP,1950,civilian,1978,3
143,"Volk, Igor",male,U.S.S.R/Russia,MSP,1937,military,1977,1
144,"Coats, Michael L.",male,U.S.,pilot,1952,military,1978,3
145,"Mullane, Richard M.",male,U.S.,MSP,1945,military,1978,3
146,"Hawley, Steven A.",male,U.S.,MSP,1951,civilian,1978,5
147,"Resnik, Judith A.",female,U.S.,MSP,1949,civilian,1978,2
148,"Walker, Charles David",male,U.S.,PSP,1948,civilian,1983,3
149,"McBride, Jon A.",male,U.S.,pilot,1943,military,1978,1
150,"Sullivan, Kathryn D.",female,U.S.,MSP,1951,civilian,1978,3
151,"Leestma, David C.",male,U.S.,MSP,1949,military,1980,3
152,"Scully-Power, Paul Desmond",male,U.S.,PSP,1944,civilian,1984,1
153,"Garneau, Marc Joseph Jean-Pierre",male,Canada,PSP,1949,military,1983,3
154,"Walker, David Mathieson",male,U.S.,pilot,1944,military,1978,4
155,"Fisher, Anna L.",female,U.S.,MSP,1949,civilian,1978,1
156,"Shriver, Loren J.",male,U.S.,pilot,1944,military,1978,3
157,"Onizuka, Ellison S.",male,U.S.,MSP,1946,military,1978,2
158,"Buchli, James F.",male,U.S.,MSP,1945,military,1978,4
159,"Payton, Gary Eugene",male,U.S.,PSP,1948,military,1979,1
160,"Williams, Donald E.",male,U.S.,pilot,1942,military,1978,2
161,"Seddon, Margaret Rhea",female,U.S.,MSP,1947,civilian,1978,3
162,"Griggs, S. David",male,U.S.,MSP,1947,civilian,1978,1
163,"Hoffman, Jeffrey A.",male,U.S.,MSP,1944,civilian,1978,5
164,"Garn, Edwin Jacob",male,U.S.,PSP,1932,military,1985,1
165,"Gregory, Frederick D.",male,U.S.,pilot,1941,military,1978,3
166,"Lind, Don L.",male,U.S.,MSP,1930,military,1966,1
167,"Lodewijk, van der Berg",male,U.S.,PSP,1932,civilian,1983,1
